                  上证50 (000016)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2016/06/15	 2073.47	 2115.38	 2073.10	 2106.63	       19549924	           	           	           	           	           	           	           	           	           	           	           	       0.00	19549924.00	           	           	       0.00	       0.00	       0.00	
 2016/06/16	 2095.36	 2105.25	 2091.49	 2094.81	       17968860	           	           	           	           	           	           	           	           	           	           	           	       0.00	17968860.00	           	           	      -0.94	      -0.19	      -1.51	
 2016/06/17	 2093.69	 2115.42	 2093.69	 2102.20	       17846082	           	           	           	           	           	           	           	           	           	           	           	       0.00	17846082.00	           	           	      -1.08	      -0.37	      -1.43	
 2016/06/20	 2109.57	 2110.89	 2092.83	 2104.22	       12091160	           	           	           	           	           	           	           	           	           	           	           	       0.00	12091160.00	           	           	      -1.02	      -0.50	      -1.04	
 2016/06/21	 2108.87	 2130.90	 2100.06	 2104.56	       17699904	    2102.48	           	           	           	           	           	           	           	           	           	           	       0.00	17699904.00	17031186.00	           	      -0.93	      -0.58	      -0.69	
 2016/06/22	 2101.05	 2116.30	 2098.63	 2115.77	       13548733	    2104.31	           	           	           	           	           	           	           	           	           	           	       0.00	13548733.00	15830948.00	           	       0.05	      -0.46	       1.01	
 2016/06/23	 2114.77	 2114.77	 2098.36	 2105.53	       15282345	    2106.46	           	           	           	           	           	           	           	           	           	           	       0.00	15282345.00	15293645.00	           	      -0.01	      -0.37	       0.72	
 2016/06/24	 2100.00	 2112.61	 2052.98	 2076.30	       22607830	    2101.28	           	           	           	           	           	           	           	           	           	           	       0.00	22607830.00	16245994.00	           	      -2.38	      -0.77	      -3.22	
 2016/06/27	 2070.94	 2096.20	 2070.82	 2095.89	       16488467	    2099.61	           	           	           	           	           	           	           	           	           	           	       0.00	16488467.00	17125456.00	           	      -2.65	      -1.14	      -3.01	
 2016/06/28	 2089.35	 2104.48	 2084.18	 2102.05	       17588206	    2099.11	    2100.80	           	           	           	           	           	           	           	           	           	       0.00	17588206.00	17103116.00	17067152.00	      -2.34	      -1.38	      -1.91	
 2016/06/29	 2105.76	 2124.29	 2104.23	 2122.97	       29455726	    2100.55	    2102.43	           	           	           	           	           	           	           	           	           	       0.00	29455726.00	20284514.00	18057732.00	      -0.40	      -1.19	       1.57	
 2016/06/30	 2123.87	 2130.98	 2120.41	 2122.63	       20354516	    2103.97	    2105.21	           	           	           	           	           	           	           	           	           	       0.00	20354516.00	21298948.00	18296296.00	       1.10	      -0.73	       3.65	
 2016/07/01	 2124.40	 2133.35	 2122.87	 2127.09	       16132804	    2114.13	    2107.70	           	           	           	           	           	           	           	           	           	       0.00	16132804.00	20003944.00	18124970.00	       2.61	      -0.06	       5.35	
 2016/07/04	 2121.90	 2169.62	 2120.49	 2163.29	       30862032	    2127.61	    2113.61	           	           	           	           	           	           	           	           	           	       0.00	30862032.00	22878656.00	20002056.00	       6.66	       1.28	      10.75	
 2016/07/05	 2162.09	 2174.42	 2159.90	 2168.86	       32307728	    2140.97	    2120.04	           	           	           	           	           	           	           	           	           	       0.00	32307728.00	25822562.00	21462838.00	      10.19	       3.06	      14.26	
 2016/07/06	 2161.58	 2169.46	 2149.04	 2167.10	       24538448	    2149.79	    2125.17	           	           	           	           	           	           	           	           	           	       0.00	24538448.00	24839106.00	22561810.00	      12.71	       4.99	      15.43	
 2016/07/07	 2161.36	 2173.70	 2153.77	 2166.88	       26977710	    2158.64	    2131.31	           	           	           	           	           	           	           	           	           	       0.00	26977710.00	26163744.00	23731346.00	      14.52	       6.90	      15.24	
 2016/07/08	 2156.38	 2158.77	 2147.14	 2148.76	       19358788	    2162.98	    2138.55	           	           	           	           	           	           	           	           	           	       0.00	19358788.00	26808942.00	23406442.00	      14.32	       8.38	      11.88	
 2016/07/11	 2152.74	 2175.24	 2150.37	 2155.72	       28609244	    2161.46	    2144.53	           	           	           	           	           	           	           	           	           	       0.00	28609244.00	26358384.00	24618520.00	      14.56	       9.62	       9.89	
 2016/07/12	 2156.63	 2201.63	 2156.59	 2200.35	       40253732	    2167.76	    2154.36	    2127.58	           	           	           	           	           	           	           	           	       0.00	40253732.00	27947584.00	26885072.00	      18.15	      11.32	      13.64	
 2016/07/13	 2195.98	 2222.25	 2191.59	 2197.79	       43279796	    2173.90	    2161.85	    2132.14	           	           	           	           	           	           	           	           	       0.00	43279796.00	31695854.00	28267480.00	      20.54	      13.17	      14.75	
 2016/07/14	 2195.34	 2199.84	 2184.49	 2195.23	       24152544	    2179.57	    2169.11	    2137.16	           	           	           	           	           	           	           	           	       0.00	24152544.00	31130820.00	28647282.00	      21.98	      14.93	      14.10	
 2016/07/15	 2196.95	 2200.88	 2186.36	 2192.39	       21585228	    2188.30	    2175.64	    2141.67	           	           	           	           	           	           	           	           	       0.00	21585228.00	31576108.00	29192524.00	      22.63	      16.47	      12.32	
 2016/07/18	 2190.47	 2205.80	 2184.05	 2187.98	       29527180	    2194.75	    2178.11	    2145.86	           	           	           	           	           	           	           	           	       0.00	29527180.00	31759696.00	29059040.00	      22.53	      17.68	       9.69	
 2016/07/19	 2188.80	 2193.57	 2163.31	 2175.40	       21809136	    2189.76	    2178.76	    2149.40	           	           	           	           	           	           	           	           	       0.00	21809136.00	28070776.00	28009180.00	      21.19	      18.38	       5.61	
 2016/07/20	 2173.55	 2178.00	 2163.11	 2167.12	       14561926	    2183.62	    2178.76	    2151.97	           	           	           	           	           	           	           	           	       0.00	14561926.00	22327202.00	27011528.00	      19.24	      18.56	       1.37	
 2016/07/21	 2168.48	 2185.62	 2168.48	 2177.78	       18046754	    2180.13	    2179.85	    2155.58	           	           	           	           	           	           	           	           	       0.00	18046754.00	21106044.00	26118432.00	      18.34	      18.51	      -0.34	
 2016/07/22	 2175.98	 2177.44	 2154.36	 2157.23	       18389190	    2173.10	    2180.70	    2159.63	           	           	           	           	           	           	           	           	       0.00	18389190.00	20466838.00	26021472.00	      15.79	      17.97	      -4.35	
 2016/07/25	 2155.32	 2167.51	 2152.09	 2159.55	       14528144	    2167.42	    2181.08	    2162.81	           	           	           	           	           	           	           	           	       0.00	14528144.00	17467030.00	24613364.00	      13.80	      17.13	      -6.67	
 2016/07/26	 2156.81	 2183.06	 2156.77	 2182.50	       18406052	    2168.84	    2179.30	    2166.83	           	           	           	           	           	           	           	           	       0.00	18406052.00	16786414.00	22428596.00	      13.91	      16.49	      -5.16	
 2016/07/27	 2182.72	 2186.08	 2125.27	 2173.97	       37934808	    2170.21	    2176.92	    2169.38	           	           	           	           	           	           	           	           	       0.00	37934808.00	21460990.00	21894096.00	      13.16	      15.82	      -5.33	
 2016/07/28	 2160.16	 2173.08	 2153.89	 2163.81	       25875424	    2167.41	    2173.77	    2171.44	           	           	           	           	           	           	           	           	       0.00	25875424.00	23026724.00	22066384.00	      11.61	      14.98	      -6.74	
 2016/07/29	 2163.64	 2166.85	 2151.93	 2155.24	       18714730	    2167.01	    2170.06	    2172.85	           	           	           	           	           	           	           	           	       0.00	18714730.00	23091832.00	21779334.00	       9.58	      13.90	      -8.64	
 2016/08/01	 2151.54	 2155.79	 2136.11	 2147.56	       20155396	    2164.62	    2166.02	    2172.06	           	           	           	           	           	           	           	           	       0.00	20155396.00	24217282.00	20842156.00	       7.27	      12.57	     -10.61	
 2016/08/02	 2145.82	 2151.29	 2138.19	 2148.45	       12592111	    2157.81	    2163.32	    2171.04	           	           	           	           	           	           	           	           	       0.00	12592111.00	23054494.00	19920454.00	       5.44	      11.15	     -11.41	
 2016/08/03	 2140.15	 2149.90	 2136.60	 2145.79	       15306893	    2152.17	    2161.19	    2169.98	           	           	           	           	           	           	           	           	       0.00	15306893.00	18528910.00	19994950.00	       3.74	       9.66	     -11.85	
 2016/08/04	 2145.66	 2146.60	 2130.17	 2143.84	       14955663	    2148.18	    2157.79	    2168.82	           	           	           	           	           	           	           	           	       0.00	14955663.00	16344959.00	19685842.00	       2.21	       8.17	     -11.93	
 2016/08/05	 2142.33	 2159.14	 2137.31	 2148.68	       16164434	    2146.86	    2156.94	    2168.82	           	           	           	           	           	           	           	           	       0.00	16164434.00	15834899.00	19463366.00	       1.37	       6.81	     -10.89	
 2016/08/08	 2147.70	 2159.95	 2137.52	 2159.67	       16775740	    2149.29	    2156.95	    2169.02	           	           	           	           	           	           	           	           	       0.00	16775740.00	15158968.00	19688126.00	       1.57	       5.76	      -8.39	
 2016/08/09	 2159.31	 2176.70	 2157.76	 2175.35	       22824744	    2154.67	    2156.24	    2167.77	           	           	           	           	           	           	           	           	       0.00	22824744.00	17205494.00	20129994.00	       2.96	       5.20	      -4.48	
 2016/08/10	 2175.13	 2179.61	 2169.13	 2170.10	       17391020	    2159.53	    2155.85	    2166.38	           	           	           	           	           	           	           	           	       0.00	17391020.00	17622320.00	18075616.00	       3.60	       4.88	      -2.56	
 2016/08/11	 2168.13	 2205.88	 2168.13	 2177.06	       26585166	    2166.17	    2157.17	    2165.47	           	           	           	           	           	           	           	           	       0.00	26585166.00	19948220.00	18146590.00	       4.62	       4.83	      -0.43	
 2016/08/12	 2177.80	 2222.69	 2175.85	 2222.49	       34430012	    2180.93	    2163.90	    2166.98	           	           	           	           	           	           	           	           	       0.00	34430012.00	23601336.00	19718118.00	       8.98	       5.66	       6.64	
 2016/08/15	 2227.08	 2310.28	 2225.62	 2287.66	       63745308	    2206.53	    2177.91	    2171.96	           	           	           	           	           	           	           	           	       0.00	63745308.00	32995250.00	24077110.00	      17.50	       8.03	      18.94	
 2016/08/16	 2293.81	 2302.33	 2253.41	 2257.70	       61249432	    2223.00	    2188.83	    2176.08	           	           	           	           	           	           	           	           	       0.00	61249432.00	40680188.00	28942842.00	      21.58	      10.74	      21.69	
 2016/08/17	 2260.93	 2270.37	 2241.94	 2253.74	       30848866	    2239.73	    2199.63	    2180.41	           	           	           	           	           	           	           	           	       0.00	30848866.00	43371756.00	30497038.00	      24.22	      13.44	      21.57	
 2016/08/18	 2253.12	 2274.45	 2235.05	 2244.72	       33880448	    2253.26	    2209.72	    2183.76	           	           	           	           	           	           	           	           	       0.00	33880448.00	44830812.00	32389516.00	      25.29	      15.81	      18.97	
 2016/08/19	 2241.67	 2254.49	 2230.33	 2249.34	       28900692	    2258.63	    2219.78	    2188.36	           	           	           	           	           	           	           	           	       0.00	28900692.00	43724948.00	33663144.00	      26.21	      17.89	      16.65	
 2016/08/22	 2249.08	 2253.59	 2235.01	 2237.13	       26193060	    2248.53	    2227.53	    2192.24	           	           	           	           	           	           	           	           	       0.00	26193060.00	36214500.00	34604876.00	      25.66	      19.44	      12.43	
 2016/08/23	 2235.39	 2256.33	 2232.44	 2241.95	       23023904	    2245.38	    2234.19	    2195.21	           	           	           	           	           	           	           	           	       0.00	23023904.00	28569394.00	34624792.00	      25.32	      20.62	       9.40	
 2016/08/24	 2242.91	 2244.88	 2227.56	 2232.21	       18121788	    2241.07	    2240.40	    2198.12	           	           	           	           	           	           	           	           	       0.00	18121788.00	26023978.00	34697868.00	      23.98	      21.29	       5.39	
 2016/08/25	 2224.51	 2226.00	 2205.01	 2222.15	       21819104	    2236.56	    2244.91	    2201.04	           	           	           	           	           	           	           	           	       0.00	21819104.00	23611710.00	34221260.00	      21.86	      21.40	       0.92	
 2016/08/26	 2223.31	 2232.29	 2215.63	 2219.31	       16430965	    2230.55	    2244.59	    2204.25	           	           	           	           	           	           	           	           	       0.00	16430965.00	21117764.00	32421356.00	      19.73	      21.07	      -2.68	
 2016/08/29	 2219.02	 2220.13	 2205.12	 2214.26	       19852012	    2225.98	    2237.25	    2207.58	           	           	           	           	           	           	           	           	       0.00	19852012.00	19849554.00	28032028.00	      17.43	      20.34	      -5.83	
 2016/08/30	 2215.84	 2229.83	 2215.69	 2224.06	       19846692	    2222.40	    2233.89	    2211.36	           	           	           	           	           	           	           	           	       0.00	19846692.00	19214112.00	23891754.00	      16.21	      19.51	      -6.62	
 2016/08/31	 2222.02	 2237.66	 2218.65	 2232.71	       16955552	    2222.50	    2231.78	    2215.71	           	           	           	           	           	           	           	           	       0.00	16955552.00	18980864.00	22502422.00	      15.76	      18.76	      -6.01	
 2016/09/01	 2230.36	 2235.65	 2219.25	 2220.40	       19028224	    2222.15	    2229.35	    2219.53	           	           	           	           	           	           	           	           	       0.00	19028224.00	18422688.00	21017200.00	      14.24	      17.86	      -7.23	
 2016/09/02	 2216.29	 2231.46	 2215.64	 2229.89	       20406024	    2224.26	    2227.41	    2223.59	           	           	           	           	           	           	           	           	       0.00	20406024.00	19217700.00	20167732.00	      13.65	      17.02	      -6.73	
 2016/09/05	 2230.41	 2240.49	 2224.93	 2228.72	       17813452	    2227.16	    2226.57	    2227.05	           	           	           	           	           	           	           	           	       0.00	17813452.00	18809988.00	19329772.00	      12.94	      16.20	      -6.53	
 2016/09/06	 2227.44	 2241.52	 2217.48	 2232.45	       21254772	    2228.83	    2225.62	    2229.90	    2175.08	           	           	           	           	           	           	           	       0.00	21254772.00	19091604.00	19152858.00	      12.53	      15.47	      -5.87	
 2016/09/07	 2233.03	 2246.37	 2230.58	 2236.55	       22097672	    2229.60	    2226.05	    2233.23	    2177.25	           	           	           	           	           	           	           	       0.00	22097672.00	20120028.00	19550446.00	      12.39	      14.85	      -4.92	
 2016/09/08	 2234.95	 2239.17	 2230.82	 2236.63	       14171157	    2232.85	    2227.50	    2236.20	    2179.61	           	           	           	           	           	           	           	       0.00	14171157.00	19148616.00	18785652.00	      12.15	      14.31	      -4.32	
 2016/09/09	 2236.39	 2241.61	 2228.66	 2229.31	       17411512	    2232.73	    2228.50	    2236.54	    2181.73	           	           	           	           	           	           	           	       0.00	17411512.00	18549712.00	18883706.00	      11.24	      13.70	      -4.91	
 2016/09/12	 2201.68	 2202.90	 2175.33	 2199.98	       34546892	    2226.98	    2227.07	    2232.16	    2183.33	           	           	           	           	           	           	           	       0.00	34546892.00	21896400.00	20353194.00	       8.06	      12.57	      -9.02	
 2016/09/13	 2197.38	 2199.24	 2185.82	 2193.19	       14968924	    2219.13	    2223.98	    2228.94	    2184.80	           	           	           	           	           	           	           	       0.00	14968924.00	20639232.00	19865418.00	       4.93	      11.04	     -12.22	
 2016/09/14	 2184.11	 2187.95	 2172.40	 2176.52	       18169656	    2207.13	    2218.36	    2225.07	    2185.82	           	           	           	           	           	           	           	       0.00	18169656.00	19853628.00	19986828.00	       1.10	       9.05	     -15.91	
 2016/09/19	 2178.76	 2191.22	 2178.76	 2189.46	       14135665	    2197.69	    2215.27	    2222.31	    2187.22	           	           	           	           	           	           	           	       0.00	14135665.00	19846530.00	19497572.00	      -0.89	       7.07	     -15.91	
 2016/09/20	 2190.10	 2190.72	 2181.02	 2184.21	       11022894	    2188.67	    2210.70	    2219.05	    2189.01	           	           	           	           	           	           	           	       0.00	11022894.00	18568806.00	18559260.00	      -2.85	       5.08	     -15.87	
 2016/09/21	 2184.42	 2191.81	 2180.50	 2187.15	       12446509	    2186.11	    2206.54	    2216.56	    2190.53	           	           	           	           	           	           	           	       0.00	12446509.00	14148730.00	18022566.00	      -4.12	       3.24	     -14.73	
 2016/09/22	 2195.25	 2210.79	 2192.49	 2200.70	       15398043	    2187.61	    2203.37	    2214.49	    2192.18	           	           	           	           	           	           	           	       0.00	15398043.00	14234553.00	17436892.00	      -3.99	       1.79	     -11.57	
 2016/09/23	 2202.70	 2203.66	 2195.08	 2196.29	       11727636	    2191.56	    2199.34	    2212.70	    2193.40	           	           	           	           	           	           	           	       0.00	11727636.00	12946149.00	16399889.00	      -4.20	       0.60	      -9.58	
 2016/09/26	 2190.39	 2190.39	 2166.82	 2167.26	       16948208	    2187.12	    2192.41	    2209.95	    2194.14	           	           	           	           	           	           	           	       0.00	16948208.00	13508658.00	16677594.00	      -6.62	      -0.85	     -11.55	
 2016/09/27	 2163.38	 2176.77	 2162.44	 2176.45	       12592539	    2185.57	    2187.12	    2207.81	    2194.97	           	           	           	           	           	           	           	       0.00	12592539.00	13822587.00	16195697.00	      -7.72	      -2.22	     -10.99	
 2016/09/28	 2177.41	 2177.41	 2165.33	 2166.72	        9288432	    2181.48	    2183.79	    2205.43	    2195.02	           	           	           	           	           	           	           	       0.00	 9288432.00	13190972.00	13669851.00	      -9.26	      -3.63	     -11.26	
 2016/09/29	 2170.99	 2183.17	 2170.84	 2175.37	       11879464	    2176.42	    2182.01	    2203.00	    2195.13	           	           	           	           	           	           	           	       0.00	11879464.00	12487256.00	13360905.00	      -9.67	      -4.84	      -9.67	
 2016/09/30	 2171.94	 2182.61	 2171.49	 2177.35	        9219305	    2172.63	    2182.10	    2200.23	    2195.30	           	           	           	           	           	           	           	       0.00	 9219305.00	11985590.00	12465870.00	      -9.73	      -5.82	      -7.83	
 2016/10/10	 2187.65	 2204.33	 2185.47	 2202.87	       19300202	    2179.75	    2183.44	    2199.35	    2195.90	           	           	           	           	           	           	           	       0.00	19300202.00	12455988.00	12982323.00	      -7.63	      -6.18	      -2.90	
 2016/10/11	 2205.35	 2212.43	 2202.12	 2209.23	       21169384	    2186.31	    2185.94	    2198.32	    2196.91	           	           	           	           	           	           	           	       0.00	21169384.00	14171357.00	13996972.00	      -5.39	      -6.02	       1.27	
 2016/10/12	 2205.44	 2205.44	 2196.85	 2201.00	       15478837	    2193.16	    2187.32	    2196.93	    2197.67	           	           	           	           	           	           	           	       0.00	15478837.00	15409438.00	14300205.00	      -4.23	      -5.66	       2.87	
 2016/10/13	 2201.34	 2204.89	 2194.60	 2202.12	       18308790	    2198.51	    2187.47	    2195.42	    2197.70	           	           	           	           	           	           	           	       0.00	18308790.00	16695304.00	14591280.00	      -3.18	      -5.17	       3.97	
 2016/10/14	 2199.56	 2211.09	 2196.26	 2209.81	       23950510	    2205.01	    2188.82	    2194.08	    2197.90	           	           	           	           	           	           	           	       0.00	23950510.00	19641544.00	15813567.00	      -1.71	      -4.47	       5.53	
 2016/10/17	 2207.35	 2209.14	 2189.27	 2192.88	       23161868	    2203.01	    2191.38	    2191.89	    2197.86	           	           	           	           	           	           	           	       0.00	23161868.00	20413878.00	16434933.00	      -1.89	      -3.96	       4.14	
 2016/10/18	 2189.93	 2224.34	 2189.93	 2222.78	       31777116	    2205.72	    2196.01	    2191.57	    2198.36	           	           	           	           	           	           	           	       0.00	31777116.00	22535424.00	18353390.00	       0.38	      -3.09	       6.94	
 2016/10/19	 2222.78	 2230.83	 2217.63	 2221.53	       29432808	    2209.82	    2201.49	    2192.64	    2198.92	           	           	           	           	           	           	           	       0.00	29432808.00	25326218.00	20367828.00	       2.05	      -2.06	       8.22	
 2016/10/20	 2222.63	 2228.94	 2218.97	 2223.42	       19772924	    2214.08	    2206.30	    2194.16	    2199.72	           	           	           	           	           	           	           	       0.00	19772924.00	25619046.00	21157174.00	       3.49	      -0.95	       8.88	
 2016/10/21	 2221.38	 2246.58	 2221.04	 2240.75	       35668576	    2220.27	    2212.64	    2197.37	    2200.95	           	           	           	           	           	           	           	       0.00	35668576.00	27962658.00	23802102.00	       5.95	       0.43	      11.05	
 2016/10/24	 2245.46	 2285.08	 2243.81	 2270.95	       49603452	    2235.89	    2219.45	    2201.44	    2202.50	           	           	           	           	           	           	           	       0.00	49603452.00	33250976.00	26832426.00	      10.23	       2.39	      15.68	
 2016/10/25	 2270.02	 2274.38	 2258.92	 2266.17	       32423788	    2244.56	    2225.14	    2205.54	    2204.32	           	           	           	           	           	           	           	       0.00	32423788.00	33380310.00	27957866.00	      13.08	       4.53	      17.11	
 2016/10/26	 2263.69	 2266.88	 2254.63	 2257.12	       27146056	    2251.68	    2230.75	    2209.04	    2205.94	           	           	           	           	           	           	           	       0.00	27146056.00	32922960.00	29124588.00	      14.44	       6.51	      15.87	
 2016/10/27	 2254.32	 2256.21	 2243.63	 2250.26	       23438308	    2257.05	    2235.57	    2211.52	    2207.07	           	           	           	           	           	           	           	       0.00	23438308.00	33656036.00	29637540.00	      14.80	       8.17	      13.26	
 2016/10/28	 2252.38	 2271.91	 2249.49	 2253.80	       28233460	    2259.66	    2239.97	    2214.39	    2208.40	           	           	           	           	           	           	           	       0.00	28233460.00	32169012.00	30065836.00	      15.19	       9.57	      11.24	
